,university,universityLabel,lat,lon,PLZ
62,http://www.wikidata.org/entity/Q1109275,Oriental College of Eichstätt,48.8906,11.1857,85072
63,http://www.wikidata.org/entity/Q1458855,Passau Seminary,48.5742,13.4631,94032
64,http://www.wikidata.org/entity/Q884358,Pforzheim Academy,48.8785,8.71722,75175
65,http://www.wikidata.org/entity/Q2088266,Philosophisch-Theologische Hochschule der Salesianer Don Boscos Benediktbeuern,47.7075,11.3986,83671
66,http://www.wikidata.org/entity/Q2088276,Philosophisch-theologische Hochschule Freising,48.3984,11.7459,85354
67,http://www.wikidata.org/entity/Q2109616,Priesterseminar Regensburg,49.0183,12.089,93047
68,http://www.wikidata.org/entity/Q880440,Protestant University for Applied Sciences Freiburg,47.9975,7.80388889,79114
69,http://www.wikidata.org/entity/Q19963141,Pädagogische Hochschule Lörrach,47.61733,7.67724,79539
70,http://www.wikidata.org/entity/Q2120222,Pädagogische Hochschule Weingarten University of Education,47.808403,9.645904,88250
71,http://www.wikidata.org/entity/Q1262617,Ravensburg University of Cooperative Education,47.779846,9.613434,88212
72,http://www.wikidata.org/entity/Q2718933,Ravensburg-Weingarten University of Applied Sciences,47.81416667,9.65305556,88250
73,http://www.wikidata.org/entity/Q982435,Regensburg University of Applied Sciences,49.0037,12.0951,93053
74,http://www.wikidata.org/entity/Q2418970,Reutlingen School of Theology,48.487,9.2113,72762
75,http://www.wikidata.org/entity/Q317125,Reutlingen University,48.482611111,9.187194444,72762
76,http://www.wikidata.org/entity/Q1622175,Rottenburg University of Applied Forest Sciences,48.4581,8.94417,72108
77,http://www.wikidata.org/entity/Q3076964,SS Junker School Bad Tölz,47.75904722,11.58309167,83646
78,http://www.wikidata.org/entity/Q1408967,"St. Jerome Seminary, Augsburg",48.3453,10.907,86161
79,http://www.wikidata.org/entity/Q568692,State University of Music and Performing Arts Stuttgart,48.778611,9.185833,70173
80,http://www.wikidata.org/entity/Q1233544,Stuttgart Media University,48.7408,9.1012,70569
81,http://www.wikidata.org/entity/Q1622111,THI - Technical University of Applied Sciences in Ingolstadt,48.7668,11.4318,85049
82,http://www.wikidata.org/entity/Q157808,Technical University of Munich,48.148055555,11.568055555,80333
83,http://www.wikidata.org/entity/Q65093904,UNRRA University of Munich,48.13,11.583333333,80538
84,http://www.wikidata.org/entity/Q646136,Ukrainian Free University,48.1636,11.5094,80638
85,http://www.wikidata.org/entity/Q591905,Ulm School of Design,48.3806,9.95278,89081
86,http://www.wikidata.org/entity/Q835662,Ulm University,48.422111111,9.953805555,89081
87,http://www.wikidata.org/entity/Q1622143,Ulm University of Applied Sciences,48.41848,9.93901,89081
88,http://www.wikidata.org/entity/Q1622143,Ulm University of Applied Sciences,48.40885,9.99749,89075
89,http://www.wikidata.org/entity/Q1622079,University of Applied Sciences Biberach,48.0937,9.78833,88400
90,http://www.wikidata.org/entity/Q1622113,University of Applied Sciences Kehl,48.5747,7.8175,77694
91,http://www.wikidata.org/entity/Q1622121,University of Applied Sciences Landshut,48.5552,12.199,84036
92,http://www.wikidata.org/entity/Q1604537,University of Applied Sciences Ludwigsburg,48.9084,9.17997,71634
93,http://www.wikidata.org/entity/Q1622129,University of Applied Sciences Neu-Ulm,48.3804,10.0092,89231
94,http://www.wikidata.org/entity/Q1622133,University of Applied Sciences Offenburg,48.4589,7.94278,77652
95,http://www.wikidata.org/entity/Q263537,University of Applied Sciences Rosenheim,47.8674,12.1073,83024
96,http://www.wikidata.org/entity/Q1540704,University of Applied Sciences Stuttgart,48.7803,9.17278,70174
97,http://www.wikidata.org/entity/Q1622214,University of Applied Sciences for Police Baden-Württemberg,48.065,8.51417,78054
98,http://www.wikidata.org/entity/Q616905,University of Augsburg,48.33388889,10.89833333,86159
99,http://www.wikidata.org/entity/Q1441203,University of Education Freiburg,47.980974,7.892667,79117
100,http://www.wikidata.org/entity/Q1441203,University of Education Freiburg,47.98111111,7.89333333,79117
101,http://www.wikidata.org/entity/Q2120205,University of Education Schwaebisch Gmuend,48.791376,9.829282,73529
102,http://www.wikidata.org/entity/Q2120205,University of Education Schwaebisch Gmuend,48.7917,9.82889,73525
103,http://www.wikidata.org/entity/Q153987,University of Freiburg,47.994166666,7.846944444,79098
104,http://www.wikidata.org/entity/Q690912,University of Hohenheim,48.7125,9.214,70599
105,http://www.wikidata.org/entity/Q29426438,University of Karlsruhe,49.009444444,8.411666666,76131
106,http://www.wikidata.org/entity/Q835440,University of Konstanz,47.690215,9.1881,78464
107,http://www.wikidata.org/entity/Q657167,University of Music and Theatre Munich,48.146111111,11.567805555,80333
108,http://www.wikidata.org/entity/Q704468,University of Passau,48.568333333,13.453333333,94032
109,http://www.wikidata.org/entity/Q574571,University of Regensburg,48.9992339,12.0931658,93053
110,http://www.wikidata.org/entity/Q122453,University of Stuttgart,48.7817,9.1752,70174
111,http://www.wikidata.org/entity/Q569350,University of Television and Film Munich,48.146758333,11.569038888,80333
112,http://www.wikidata.org/entity/Q153978,University of Tübingen,48.525,9.058888888,72074
113,http://www.wikidata.org/entity/Q15852343,VWA Hochschule,48.792308,9.183608,70191
114,http://www.wikidata.org/entity/Q7968367,War Academy,48.147231303,11.550960887,80335
115,http://www.wikidata.org/entity/Q1622145,Weihenstephan-Triesdorf University of Applied Science,48.395708,11.730411,85354
116,http://www.wikidata.org/entity/Q2576313,Wilhelmsstift,48.5212,9.05515,72070
117,http://www.wikidata.org/entity/Q191426,Zeppelin University,47.65861111,9.43388889,88045
